title,seakpeek,date,link
"메디포럼·메디포럼제약, 경영권 분쟁 일단락",코스닥 상장사 메디포럼제약의 경영권을 둘러싼 다툼이 일단락 됐다. 메디포럼과 메디포럼제약이 쌍방으로 얽힌 법적 분쟁을 끝내고 각자의 길을 걷기로 합의했다. 메디포럼제약은 에이치엘비(HLB)...,2020.09.10 08:42,https://paxnetnews.com/articles/65111
공모주 열풍 시대,청약 열풍이 거세지면서 공모주 시장의 허점이 드러나고 있다. 청약증거금을 많이 낼수록 공모주를 많이 배정 받는 현재 방식이 개인투자자에게 불리하다는 지적이다. 금융투자협회의 '증권 인수업무...,2020.09.10 08:34,https://paxnetnews.com/series/65121
"'뱅크', '페이지'...카카오게임즈 잇는 '2호' 상장사는?",카카오게임즈가 역대급 기업공개(IPO) 흥행을 기록하면서 현재 상장을 추진 중인 카카오페이지와 카카오뱅크의 공모 시점에 시장의 이목이 쏠리고 있다. 현재 IPO 준비 면에서는 카카오페이지가...,2020.09.10 08:34,https://paxnetnews.com/articles/65128
"미래에셋운용, 美 아마존 물류센터 3곳 인수",미래에셋자산운용이 미국 아마존물류센터 3곳에 투자한다. 약 1700만달러를 투자해 물류센터의 지분을 인수한 뒤 배당금을 받는 형식으로 수익을 낼 예정이다. 9일 관련업계에 따르면 미래에셋자...,2020.09.09 15:19,https://paxnetnews.com/articles/65112
"에이티세미콘, 건기식 사업 박차",에이티세미콘은 관계사 에이펙셀이 미국 식품의약국(FDA)에 접수한 건강기능식품 '막고랑복고랑'이 이달말쯤 판매 승인을 받을 것으로 보인다고 9일 밝혔다. '막고랑복구랑'이란 이름은 코로나 ...,2020.09.09 14:25,https://paxnetnews.com/articles/65109
"의료용 지혈제 기업 이노테라피, GMP 인증",의료용 지혈제 전문기업 이노테라피가 식품의약품안전처로부터  4등급 의료기기 제조 및 품질관리기준 (KGMP) 적합 인증을 획득다고 9일 밝혔다.  GMP는 제조업자가 생산하는 제품이 안전하...,2020.09.09 09:42,https://paxnetnews.com/articles/65091
무역금융外 1.4조 라임 부실펀드도 전액 배상 될까?,라임자산운용(이후 라임)의 부실펀드를 판매했던 판매사들이 금융당국의 무역금융펀드 전액배상 권고안을 수용한 이후 남아있는 라임 부실펀드(플루토 FI D-1호·테티스 2호·CI 1호)의 손실 ...,2020.09.09 08:40,https://paxnetnews.com/articles/65072
"투비소프트, 채무상환 위해 200억 유증 나선다","기업용 UI(사용자인터페이스), UX(사용자경험) 전문기업 투비소프트가 운영자금과 채무상환을 위한 유동성 마련에 나섰다.  투비소프트는 11일 이사회를 열고 매그넘비이비코리아를 대상으로 2...",2020.09.11 19:57,https://paxnetnews.com/articles/65216
아시아나 M&A,우려가 일이 현실이 됐다. HDC현대산업개발-미래에셋대우 컨소시엄(이하 HDC현산)으로의 아시아나항공 인수·합병(M&A) 협상이 결렬됐다. 아시아나항공의 최대주주인 금호산업과 주채권은행인 ...,2020.09.11 19:07,https://paxnetnews.com/series/65210
"한국테크놀로지, 대우조선해양건설 지배력 강화",코스닥 상장사 한국테크놀로지가 대우조선해양건설의 지분을 전량 확보할 전망이다. 한국테크놀로지는 대우조선해양건설 최대주주인 한국인베스트먼트뱅크의 100% 주주로 올라설 예정이라고 11일 밝혔...,2020.09.11 16:47,https://paxnetnews.com/articles/65207
"급락장속 애경 오너2세, 3세에 증여...절묘한 타이밍?",애경그룹 오너 2세가 3세들에게 그룹 지주회사인 AK홀딩스 보유 주식을 대거 증여했다. AK홀딩스 주가가 급락한 시점에서 이뤄진 증여로 애경 오너 3세는 수십억원에 달하는 증여세 절감 효과...,2020.09.11 14:45,https://paxnetnews.com/articles/65191
공모주 열풍 시대,하반기 공모 시장이 호황 속에 미소를 짓고 있는 곳이 있다. 하이일드(High yield) 펀드다. 공모주 우선 배정 혜택 덕에 일반 청약에 비해 물량 확보가 쉬다는 점에서 시중 자금이 속...,2020.09.11 08:32,https://paxnetnews.com/series/65153
